"cell_id","lat","long","proportion_cover","cell_category_all","pcoldq","pwarmq","amt","ts","arid","th","clay"
1358,-28.35000017,117.05000005,1,"land",0.218585942808588,-0.865690569842557,-0.208441534613832,1.0719772520116,-0.642192131760866,-0.205809967094969,-0.522313496266275
1359,-28.35000017,117.88333339,1,"land",0.14464024740669,-0.844878036505912,-0.196437886905559,1.15124313429019,-0.642071424729599,-0.192637868628519,-0.581978270556034
1360,-28.35000017,118.71666673,1,"land",0.0714553405625626,-0.832626851840268,-0.251514716746994,1.17477543246998,-0.650864591576722,-0.381993069587121,-0.493579111461302
1361,-28.35000017,119.55000007,1,"land",-0.0723849053820858,-0.643091212592618,-0.220857565993185,1.15208349304759,-0.641489556814779,-0.30998743308768,-0.708766014101847
1362,-28.35000017,120.38333341,1,"land",-0.192712306230637,-0.771947412344848,-0.205938451175189,1.10750437599409,-0.652979782829287,-0.326975189814544,-0.553957676724959
1363,-28.35000017,121.21666675,1,"land",-0.228383214687881,-0.775997662879587,-0.211687987963375,1.00411501554123,-0.657349575001518,-0.252988376278299,-0.472376229413074
1364,-28.35000017,122.05000009,1,"land",-0.257365113683978,-0.79017099376579,-0.269227427382606,0.914616131986181,-0.670734330445819,-0.442466050866356,-0.541548936852764
1365,-28.35000017,122.88333343,1,"land",-0.256594442047486,-0.829879006189283,-0.43509155768396,0.831478291100431,-0.666696830310237,-0.473948621257781,-0.955597184472256
1366,-28.35000017,123.71666677,1,"land",-0.290861703121779,-0.792420480963965,-0.38127481404358,0.801949030613801,-0.691665654348842,-0.291650797116134,-0.786055726638896
1367,-28.35000017,124.55000011,1,"land",-0.349442005062563,-0.776314189481201,-0.285032020334035,0.772816743888709,-0.725509556191506,-0.488787349050116,-0.793907340080596
1368,-28.35000017,125.38333345,1,"land",-0.397367222221413,-0.767722337480583,-0.256812295422382,0.818417809286335,-0.745250096813068,-0.283805058057396,-1.07368224603774
1369,-28.35000017,126.21666679,1,"land",-0.431624683618493,-0.761037404283195,-0.307240477490687,0.811216858454143,-0.744944596027748,-0.229697877884981,-1.18413544299051
1370,-28.35000017,127.05000013,1,"land",-0.460088409044164,-0.769178592623816,-0.382770098347117,0.781968318345991,-0.74437817334252,-0.392464411600539,-1.24720440416361
1371,-28.35000017,127.88333347,1,"land",-0.485697842954064,-0.784576809200777,-0.381831554485018,0.770692190783535,-0.746406366228403,-0.147931484897343,-1.17980696704927
1372,-28.35000017,128.71666681,1,"land",-0.480895584112097,-0.795431484513473,-0.371925352187781,0.778669065358486,-0.743438905742946,-0.178503287553068,-1.11443186496832
1373,-28.35000017,129.55000015,1,"land",-0.456905098578558,-0.796311231576425,-0.416254573135915,0.730992561657058,-0.72758580496946,-0.177608872346474,-0.837594419628669
1374,-28.35000017,130.38333349,1,"land",-0.42602006056692,-0.802359910903248,-0.359880780909096,0.764853837743506,-0.727299006819974,-0.135547850875982,-0.849481626934534
1375,-28.35000017,131.21666683,1,"land",-0.3961669494162,-0.799514178176216,-0.31142637412146,0.815548423459453,-0.725984551901566,-0.381126862493236,-0.835288365992004
1376,-28.35000017,132.05000017,1,"land",-0.357356474584399,-0.804124400009996,-0.238348569813265,0.842521010707747,-0.733075449487254,-0.189178218553863,-0.768412548715173
1377,-28.35000017,132.88333351,1,"land",-0.34232660539076,-0.821441610635139,-0.15771519510395,0.904407012218647,-0.742305804171999,-0.410155190807911,-0.152281776895976
1378,-28.35000017,133.71666685,1,"land",-0.375478871701972,-0.841026106108649,-0.0800044828573974,0.960132936210812,-0.754376873299364,-0.541597944003221,0.670973786038066
1379,-28.35000017,134.55000019,1,"land",-0.504864239300867,-0.825122572052168,-0.128429208813745,0.897945486974067,-0.760151266362717,-0.101908245624319,1.67955633041077
1380,-28.35000017,135.38333353,1,"land",-0.499108742920965,-0.818485260905153,-0.00635644682081578,1.00223288228135,-0.79426524012282,-0.584403005548064,1.43999135841262
1381,-28.35000017,136.21666687,1,"land",-0.492616456767277,-1.00070604167708,0.0267925446325115,1.05209341756301,-0.822917751419124,0.084269386386717,1.33831380214592
1382,-28.35000017,137.05000021,1,"land",-0.484629844940851,-1.02386786483886,0.162339954320742,1.0420996819703,-0.835690864791559,-0.750507022318743,0.433440138004766
1383,-28.35000017,137.88333355,1,"land",-0.37517716674607,-0.934376454433218,0.124478906045622,1.18334438822843,-0.816533967188219,-0.760336561632495,0.417691181023513
1384,-28.35000017,138.71666689,1,"land",-0.544167721297996,-0.898868081267656,0.0591388045123611,1.32218021624685,-0.791771219844443,-0.631156385245698,0.410095795763664
1385,-28.35000017,139.55000023,1,"land",-0.593941491185272,-0.906147974877471,0.103738750618609,1.3451069154079,-0.771940697950483,-0.881112909286195,0.371560857545223
1386,-28.35000017,140.38333357,1,"land",-0.577360437340683,-0.743394743983862,0.137379274626452,1.3484620421144,-0.746954049677728,-0.764801602671171,0.587671874701309
1387,-28.35000017,141.21666691,1,"land",-0.530743706443931,-0.72544700189339,0.103863769877671,1.3131376856605,-0.719878013201844,-0.623422967621261,-0.0481976305942759
1388,-28.35000017,142.05000025,1,"land",-0.477408400251376,-0.742510583879582,0.0982968151728644,1.23649561520194,-0.664968282198454,-0.207414831555707,1.13053020090001
1389,-28.35000017,142.88333359,1,"land",-0.374516877005677,-0.656825324629301,0.0607496641740962,1.22312332198832,-0.60502563895234,-0.454615468976033,0.770958281430138
1390,-28.35000017,143.71666693,1,"land",-0.284028367350698,-0.592318105226522,-0.00159222368948642,1.13997737040142,-0.538919873298092,-0.478064655037222,0.343878788617896
1391,-28.35000017,144.55000027,1,"land",-0.268918724614469,-0.460713453636311,-0.0457397619733708,1.03599547817055,-0.479509029070869,-0.514183201498141,0.817518677279057
1392,-28.35000017,145.38333361,1,"land",-0.228066205555225,-0.376890594816304,-0.0951664408404792,0.947826749603091,-0.405958589553123,-0.7084455068656,1.07985182719385
1393,-28.35000017,146.21666695,1,"land",-0.16579104999831,-0.346211131505049,-0.112454175937191,0.887569196644069,-0.370445029111505,-0.748936310796399,1.36815565821373
1394,-28.35000017,147.05000029,1,"land",-0.103148635900051,-0.251609879943871,-0.152197258741725,0.873510197400266,-0.303256230782239,-0.686307469994956,0.630507885710751
1395,-28.35000017,147.88333363,1,"land",-0.0616817396306765,-0.167927462527001,-0.223678594094264,0.801216363943808,-0.228811102550328,-0.691222324821255,0.840643445233531
1396,-28.35000017,148.71666697,1,"land",0.0898958310323977,0.0279200139459941,-0.286583518333193,0.725601648963463,-0.100553403617114,-0.753376754905877,1.45832074961765
1397,-28.35000017,149.55000031,1,"land",0.16358139713023,0.0696581708651794,-0.37228511983976,0.616076993689806,-0.0282067770057924,-0.526596508546276,2.14870314968689
1398,-28.35000017,150.38333365,1,"land",0.216394151173178,0.21338695032676,-0.491011143250156,0.503441884527493,0.116961691527331,-0.4086694272675,1.7304361259983
1399,-28.35000017,151.21666699,1,"land",0.300529259035993,0.381892677581149,-0.81900906301141,0.134516504624238,0.23957478124585,0.713205030389128,0.806619903347733
1400,-28.35000017,152.05000033,1,"land",0.40098078775789,0.791062498266095,-1.1644395243493,-0.242868336572026,0.753400969702627,2.20213837229681,1.07705146959874
1401,-28.35000017,152.88333367,1,"land",0.802236202486853,1.84830964863822,-0.76204120444926,-0.69260468732177,1.64791327152866,2.65713495774926,1.13866562021616
1402,-28.35000017,153.71666701,0.29,"land",1.86931596509467,2.64561489223109,-0.54347920790518,-1.05672537798633,3.07915286488846,1.22552772323309,1.61363028537613
1403,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1404,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1405,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1406,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1407,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1408,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1409,-29.18333351,114.55000003,0.15,"land",2.19227162528481,-0.980334303276148,-0.369078690641499,-0.283483799035994,-0.143237210596447,0.167642687901232,-0.939315436942569
1410,-29.18333351,115.38333337,1,"land",1.5403792491457,-0.966130469060327,-0.429016431170733,0.261866903931241,-0.273288312965703,0.528963537824315,-0.979153508407403
1411,-29.18333351,116.21666671,1,"land",0.654742636877155,-0.937433843411629,-0.35946255101367,0.751937546171967,-0.496104708667087,-0.454788771716794,-0.515312951363204
1412,-29.18333351,117.05000005,1,"land",0.445925026510019,-0.877137683829777,-0.315798900221697,0.93676961097152,-0.570577067351169,-0.346487300086703,-0.599584881855711
1413,-29.18333351,117.88333339,1,"land",0.258784719145832,-0.898817864736942,-0.333222897316596,1.06064164597409,-0.580288163956984,-0.201620244731242,-0.630423898415975
1414,-29.18333351,118.71666673,1,"land",0.16193396713882,-0.869256476967823,-0.51921018152182,1.03735627358468,-0.588572370228972,-0.256039144989751,-0.936681941841903
1415,-29.18333351,119.55000007,1,"land",0.046507197211154,-0.783907481767733,-0.363089908364747,0.980103284804938,-0.599449764669336,-0.560619955350948,-0.736658406570817
1416,-29.18333351,120.38333341,1,"land",-0.147138469493131,-0.862345872475719,-0.414247519347438,0.953272634826661,-0.600801990860111,-0.375468069795893,-0.750604602805301
1417,-29.18333351,121.21666675,1,"land",-0.158269026273294,-0.807327395104745,-0.352780316587729,0.871348695545437,-0.612943844523094,-0.372735698453255,-0.552209984092207
1418,-29.18333351,122.05000009,1,"land",-0.151489234270475,-0.760492029967007,-0.354946567562206,0.761362631495598,-0.65541767690013,-0.431893493511322,-0.378275906000964
1419,-29.18333351,122.88333343,1,"land",-0.177343576709195,-0.766007410222594,-0.52998837066554,0.681485292469665,-0.654238569041038,-0.409891574411605,-0.625830030819077
1420,-29.18333351,123.71666677,1,"land",-0.25961044908765,-0.7803561958728,-0.588674119765888,0.626073432849569,-0.6698323583177,-0.559976142652913,-0.79919667170378
1421,-29.18333351,124.55000011,1,"land",-0.337082735562892,-0.78439247985916,-0.505652337556999,0.566613882764197,-0.698410717871935,-0.203460517475577,-0.837155183784235
1422,-29.18333351,125.38333345,1,"land",-0.406027259525773,-0.798389095112411,-0.287753212911689,0.630671299209101,-0.739671367724594,-0.253154967668572,-0.3627191201561
