"lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
-27.51666585,122.88333285,"land",1,1311,-0.265766174891103,-0.711916858685872,0.991226269261258,-0.81445556573103,-0.332567196755404,-0.301887304080829,-1.06921163191862
-27.51666585,123.71666615,"land",1,1312,-0.178145021692311,-0.734974113470249,0.992564393749009,-0.78956714278797,-0.343072477348805,-0.238081165798259,-0.936875846712044
-27.51666585,124.54999945,"land",1,1313,-0.154004049921129,-0.754473836596433,0.980589827520203,-0.760833449546118,-0.368481731773414,-0.47483016190897,-0.907438558569108
-27.51666585,125.38333275,"land",1,1314,-0.153009162901817,-0.766290520731788,0.995181317008304,-0.736743199263102,-0.405545539309849,-0.438135229564289,-1.06262133199569
-27.51666585,126.21666605,"land",1,1315,-0.182054824184758,-0.762961356419735,0.989077799435113,-0.712855306626446,-0.432693540241558,-0.31868885567025,-1.08192677502088
-27.51666585,127.04999935,"land",1,1316,-0.279644196351808,-0.755014637791889,0.941855847684635,-0.701340016505478,-0.45271131861757,-0.284589396183003,-1.19251988924129
-27.51666585,127.88333265,"land",1,1317,-0.240392731140774,-0.749471915986947,0.956111158114237,-0.700873691384746,-0.472494425481974,-0.0435742052884034,-1.13663913908707
-27.51666585,128.71666595,"land",1,1318,-0.22966721011304,-0.738576148787211,0.963890737032676,-0.696733909957449,-0.466549792153643,-0.252420773680468,-1.10644416710342
-27.51666585,129.54999925,"land",1,1319,-0.279853883077723,-0.709515513917736,0.933441263877921,-0.68841017043358,-0.42999727680191,-0.176431810598343,-0.839655016599584
-27.51666585,130.38333255,"land",1,1320,-0.318120360642772,-0.698034914147501,0.933915430157817,-0.704607522472654,-0.402701613140436,-0.131376120160222,-0.879571131453688
-27.51666585,131.21666585,"land",1,1321,-0.297056744061583,-0.696876402168332,0.958556256521411,-0.71774656644938,-0.37968341888738,-0.367103638793635,-0.946797901152391
-27.51666585,132.04999915,"land",1,1322,-0.302688587541324,-0.702461011906793,0.936492363489892,-0.724648909763851,-0.348706359022952,-0.2362534855546,-0.858869144097549
-27.51666585,132.88333245,"land",1,1323,-0.207726599049427,-0.718614895472455,0.991885443885766,-0.739180753869432,-0.361585087865397,-0.227975499116779,-0.617911841787795
